"Original_Weight","Deviation","avg_mass","Status"
3750,-451.754385964912,4201.75438596491,"Lighter than Average"
3800,-401.754385964912,4201.75438596491,"Lighter than Average"
3250,-951.754385964912,4201.75438596491,"Lighter than Average"
NA,NA,4201.75438596491,"Missing Data"
3450,-751.754385964912,4201.75438596491,"Lighter than Average"
3650,-551.754385964912,4201.75438596491,"Lighter than Average"
3625,-576.754385964912,4201.75438596491,"Lighter than Average"
4675,473.245614035088,4201.75438596491,"Heavier than Average"
3475,-726.754385964912,4201.75438596491,"Lighter than Average"
4250,48.2456140350878,4201.75438596491,"Heavier than Average"
3300,-901.754385964912,4201.75438596491,"Lighter than Average"
3700,-501.754385964912,4201.75438596491,"Lighter than Average"
3200,-1001.75438596491,4201.75438596491,"Lighter than Average"
3800,-401.754385964912,4201.75438596491,"Lighter than Average"
4400,198.245614035088,4201.75438596491,"Heavier than Average"
3700,-501.754385964912,4201.75438596491,"Lighter than Average"
3450,-751.754385964912,4201.75438596491,"Lighter than Average"
4500,298.245614035088,4201.75438596491,"Heavier than Average"
3325,-876.754385964912,4201.75438596491,"Lighter than Average"
4200,-1.75438596491222,4201.75438596491,"Lighter than Average"
3400,-801.754385964912,4201.75438596491,"Lighter than Average"
3600,-601.754385964912,4201.75438596491,"Lighter than Average"
3800,-401.754385964912,4201.75438596491,"Lighter than Average"
3950,-251.754385964912,4201.75438596491,"Lighter than Average"
3800,-401.754385964912,4201.75438596491,"Lighter than Average"
3800,-401.754385964912,4201.75438596491,"Lighter than Average"
3550,-651.754385964912,4201.75438596491,"Lighter than Average"
3200,-1001.75438596491,4201.75438596491,"Lighter than Average"
3150,-1051.75438596491,4201.75438596491,"Lighter than Average"
3950,-251.754385964912,4201.75438596491,"Lighter than Average"
3250,-951.754385964912,4201.75438596491,"Lighter than Average"
3900,-301.754385964912,4201.75438596491,"Lighter than Average"
3300,-901.754385964912,4201.75438596491,"Lighter than Average"
3900,-301.754385964912,4201.75438596491,"Lighter than Average"
3325,-876.754385964912,4201.75438596491,"Lighter than Average"
4150,-51.7543859649122,4201.75438596491,"Lighter than Average"
3950,-251.754385964912,4201.75438596491,"Lighter than Average"
3550,-651.754385964912,4201.75438596491,"Lighter than Average"
3300,-901.754385964912,4201.75438596491,"Lighter than Average"
4650,448.245614035088,4201.75438596491,"Heavier than Average"
3150,-1051.75438596491,4201.75438596491,"Lighter than Average"
3900,-301.754385964912,4201.75438596491,"Lighter than Average"
3100,-1101.75438596491,4201.75438596491,"Lighter than Average"
4400,198.245614035088,4201.75438596491,"Heavier than Average"
3000,-1201.75438596491,4201.75438596491,"Lighter than Average"
4600,398.245614035088,4201.75438596491,"Heavier than Average"
3425,-776.754385964912,4201.75438596491,"Lighter than Average"
2975,-1226.75438596491,4201.75438596491,"Lighter than Average"
3450,-751.754385964912,4201.75438596491,"Lighter than Average"
4150,-51.7543859649122,4201.75438596491,"Lighter than Average"
3500,-701.754385964912,4201.75438596491,"Lighter than Average"
4300,98.2456140350878,4201.75438596491,"Heavier than Average"
3450,-751.754385964912,4201.75438596491,"Lighter than Average"
4050,-151.754385964912,4201.75438596491,"Lighter than Average"
2900,-1301.75438596491,4201.75438596491,"Lighter than Average"
3700,-501.754385964912,4201.75438596491,"Lighter than Average"
3550,-651.754385964912,4201.75438596491,"Lighter than Average"
3800,-401.754385964912,4201.75438596491,"Lighter than Average"
2850,-1351.75438596491,4201.75438596491,"Lighter than Average"
3750,-451.754385964912,4201.75438596491,"Lighter than Average"
3150,-1051.75438596491,4201.75438596491,"Lighter than Average"
4400,198.245614035088,4201.75438596491,"Heavier than Average"
3600,-601.754385964912,4201.75438596491,"Lighter than Average"
4050,-151.754385964912,4201.75438596491,"Lighter than Average"
2850,-1351.75438596491,4201.75438596491,"Lighter than Average"
3950,-251.754385964912,4201.75438596491,"Lighter than Average"
3350,-851.754385964912,4201.75438596491,"Lighter than Average"
4100,-101.754385964912,4201.75438596491,"Lighter than Average"
3050,-1151.75438596491,4201.75438596491,"Lighter than Average"
4450,248.245614035088,4201.75438596491,"Heavier than Average"
3600,-601.754385964912,4201.75438596491,"Lighter than Average"
3900,-301.754385964912,4201.75438596491,"Lighter than Average"
3550,-651.754385964912,4201.75438596491,"Lighter than Average"
4150,-51.7543859649122,4201.75438596491,"Lighter than Average"
3700,-501.754385964912,4201.75438596491,"Lighter than Average"
4250,48.2456140350878,4201.75438596491,"Heavier than Average"
3700,-501.754385964912,4201.75438596491,"Lighter than Average"
3900,-301.754385964912,4201.75438596491,"Lighter than Average"
3550,-651.754385964912,4201.75438596491,"Lighter than Average"
4000,-201.754385964912,4201.75438596491,"Lighter than Average"
3200,-1001.75438596491,4201.75438596491,"Lighter than Average"
4700,498.245614035088,4201.75438596491,"Heavier than Average"
