"species","island","bill_length_mm","body_mass_g"
"Adelie","Torgersen",39.1,3750
"Adelie","Torgersen",39.5,3800
"Adelie","Torgersen",40.3,3250
"Adelie","Torgersen",36.7,3450
"Adelie","Torgersen",39.3,3650
"Adelie","Torgersen",38.9,3625
"Adelie","Torgersen",39.2,4675
"Adelie","Torgersen",34.1,3475
"Adelie","Torgersen",42,4250
"Adelie","Torgersen",37.8,3300
"Adelie","Torgersen",37.8,3700
"Adelie","Torgersen",41.1,3200
"Adelie","Torgersen",38.6,3800
"Adelie","Torgersen",34.6,4400
"Adelie","Torgersen",36.6,3700
"Adelie","Torgersen",38.7,3450
"Adelie","Torgersen",42.5,4500
"Adelie","Torgersen",34.4,3325
"Adelie","Torgersen",46,4200
"Adelie","Biscoe",37.8,3400
"Adelie","Biscoe",37.7,3600
"Adelie","Biscoe",35.9,3800
"Adelie","Biscoe",38.2,3950
"Adelie","Biscoe",38.8,3800
"Adelie","Biscoe",35.3,3800
"Adelie","Biscoe",40.6,3550
"Adelie","Biscoe",40.5,3200
"Adelie","Biscoe",37.9,3150
"Adelie","Biscoe",40.5,3950
"Adelie","Dream",39.5,3250
"Adelie","Dream",37.2,3900
"Adelie","Dream",39.5,3300
"Adelie","Dream",40.9,3900
"Adelie","Dream",36.4,3325
"Adelie","Dream",39.2,4150
"Adelie","Dream",38.8,3950
"Adelie","Dream",42.2,3550
"Adelie","Dream",37.6,3300
"Adelie","Dream",39.8,4650
"Adelie","Dream",36.5,3150
"Adelie","Dream",40.8,3900
"Adelie","Dream",36,3100
"Adelie","Dream",44.1,4400
"Adelie","Dream",37,3000
"Adelie","Dream",39.6,4600
"Adelie","Dream",41.1,3425
"Adelie","Dream",37.5,2975
"Adelie","Dream",36,3450
"Adelie","Dream",42.3,4150
"Adelie","Biscoe",39.6,3500
"Adelie","Biscoe",40.1,4300
"Adelie","Biscoe",35,3450
"Adelie","Biscoe",42,4050
"Adelie","Biscoe",34.5,2900
"Adelie","Biscoe",41.4,3700
"Adelie","Biscoe",39,3550
"Adelie","Biscoe",40.6,3800
"Adelie","Biscoe",36.5,2850
"Adelie","Biscoe",37.6,3750
"Adelie","Biscoe",35.7,3150
"Adelie","Biscoe",41.3,4400
"Adelie","Biscoe",37.6,3600
"Adelie","Biscoe",41.1,4050
"Adelie","Biscoe",36.4,2850
"Adelie","Biscoe",41.6,3950
"Adelie","Biscoe",35.5,3350
"Adelie","Biscoe",41.1,4100
"Adelie","Torgersen",35.9,3050
"Adelie","Torgersen",41.8,4450
"Adelie","Torgersen",33.5,3600
"Adelie","Torgersen",39.7,3900
"Adelie","Torgersen",39.6,3550
"Adelie","Torgersen",45.8,4150
"Adelie","Torgersen",35.5,3700
"Adelie","Torgersen",42.8,4250
"Adelie","Torgersen",40.9,3700
"Adelie","Torgersen",37.2,3900
"Adelie","Torgersen",36.2,3550
"Adelie","Torgersen",42.1,4000
"Adelie","Torgersen",34.6,3200
"Adelie","Torgersen",42.9,4700
"Adelie","Torgersen",36.7,3800
"Adelie","Torgersen",35.1,4200
"Adelie","Dream",37.3,3350
"Adelie","Dream",41.3,3550
"Adelie","Dream",36.3,3800
"Adelie","Dream",36.9,3500
"Adelie","Dream",38.3,3950
"Adelie","Dream",38.9,3600
"Adelie","Dream",35.7,3550
"Adelie","Dream",41.1,4300
"Adelie","Dream",34,3400
"Adelie","Dream",39.6,4450
"Adelie","Dream",36.2,3300
"Adelie","Dream",40.8,4300
"Adelie","Dream",38.1,3700
"Adelie","Dream",40.3,4350
"Adelie","Dream",33.1,2900
"Adelie","Dream",43.2,4100
"Adelie","Biscoe",35,3725
"Adelie","Biscoe",41,4725
"Adelie","Biscoe",37.7,3075
"Adelie","Biscoe",37.8,4250
"Adelie","Biscoe",37.9,2925
"Adelie","Biscoe",39.7,3550
"Adelie","Biscoe",38.6,3750
"Adelie","Biscoe",38.2,3900
"Adelie","Biscoe",38.1,3175
"Adelie","Biscoe",43.2,4775
"Adelie","Biscoe",38.1,3825
"Adelie","Biscoe",45.6,4600
"Adelie","Biscoe",39.7,3200
"Adelie","Biscoe",42.2,4275
"Adelie","Biscoe",39.6,3900
"Adelie","Biscoe",42.7,4075
"Adelie","Torgersen",38.6,2900
"Adelie","Torgersen",37.3,3775
"Adelie","Torgersen",35.7,3350
"Adelie","Torgersen",41.1,3325
"Adelie","Torgersen",36.2,3150
"Adelie","Torgersen",37.7,3500
"Adelie","Torgersen",40.2,3450
"Adelie","Torgersen",41.4,3875
"Adelie","Torgersen",35.2,3050
"Adelie","Torgersen",40.6,4000
"Adelie","Torgersen",38.8,3275
"Adelie","Torgersen",41.5,4300
"Adelie","Torgersen",39,3050
"Adelie","Torgersen",44.1,4000
"Adelie","Torgersen",38.5,3325
"Adelie","Torgersen",43.1,3500
"Adelie","Dream",36.8,3500
"Adelie","Dream",37.5,4475
"Adelie","Dream",38.1,3425
"Adelie","Dream",41.1,3900
"Adelie","Dream",35.6,3175
"Adelie","Dream",40.2,3975
"Adelie","Dream",37,3400
"Adelie","Dream",39.7,4250
"Adelie","Dream",40.2,3400
"Adelie","Dream",40.6,3475
"Adelie","Dream",32.1,3050
"Adelie","Dream",40.7,3725
"Adelie","Dream",37.3,3000
"Adelie","Dream",39,3650
"Adelie","Dream",39.2,4250
"Adelie","Dream",36.6,3475
"Adelie","Dream",36,3450
"Adelie","Dream",37.8,3750
"Adelie","Dream",36,3700
"Adelie","Dream",41.5,4000
