"species","island","bill_length_mm","body_mass_g"
"Gentoo","Biscoe",46.1,4500
"Gentoo","Biscoe",50,5700
"Gentoo","Biscoe",48.7,4450
"Gentoo","Biscoe",50,5700
"Gentoo","Biscoe",47.6,5400
"Gentoo","Biscoe",46.5,4550
"Gentoo","Biscoe",45.4,4800
"Gentoo","Biscoe",46.7,5200
"Gentoo","Biscoe",43.3,4400
"Gentoo","Biscoe",46.8,5150
"Gentoo","Biscoe",40.9,4650
"Gentoo","Biscoe",49,5550
"Gentoo","Biscoe",45.5,4650
"Gentoo","Biscoe",48.4,5850
"Gentoo","Biscoe",45.8,4200
"Gentoo","Biscoe",49.3,5850
"Gentoo","Biscoe",42,4150
"Gentoo","Biscoe",49.2,6300
"Gentoo","Biscoe",46.2,4800
"Gentoo","Biscoe",48.7,5350
"Gentoo","Biscoe",50.2,5700
"Gentoo","Biscoe",45.1,5000
"Gentoo","Biscoe",46.5,4400
"Gentoo","Biscoe",46.3,5050
"Gentoo","Biscoe",42.9,5000
"Gentoo","Biscoe",46.1,5100
"Gentoo","Biscoe",44.5,4100
"Gentoo","Biscoe",47.8,5650
"Gentoo","Biscoe",48.2,4600
"Gentoo","Biscoe",50,5550
"Gentoo","Biscoe",47.3,5250
"Gentoo","Biscoe",42.8,4700
"Gentoo","Biscoe",45.1,5050
"Gentoo","Biscoe",59.6,6050
"Gentoo","Biscoe",49.1,5150
"Gentoo","Biscoe",48.4,5400
"Gentoo","Biscoe",42.6,4950
"Gentoo","Biscoe",44.4,5250
"Gentoo","Biscoe",44,4350
"Gentoo","Biscoe",48.7,5350
"Gentoo","Biscoe",42.7,3950
"Gentoo","Biscoe",49.6,5700
"Gentoo","Biscoe",45.3,4300
"Gentoo","Biscoe",49.6,4750
"Gentoo","Biscoe",50.5,5550
"Gentoo","Biscoe",43.6,4900
"Gentoo","Biscoe",45.5,4200
"Gentoo","Biscoe",50.5,5400
"Gentoo","Biscoe",44.9,5100
"Gentoo","Biscoe",45.2,5300
"Gentoo","Biscoe",46.6,4850
"Gentoo","Biscoe",48.5,5300
"Gentoo","Biscoe",45.1,4400
"Gentoo","Biscoe",50.1,5000
"Gentoo","Biscoe",46.5,4900
"Gentoo","Biscoe",45,5050
"Gentoo","Biscoe",43.8,4300
"Gentoo","Biscoe",45.5,5000
"Gentoo","Biscoe",43.2,4450
"Gentoo","Biscoe",50.4,5550
"Gentoo","Biscoe",45.3,4200
"Gentoo","Biscoe",46.2,5300
"Gentoo","Biscoe",45.7,4400
"Gentoo","Biscoe",54.3,5650
"Gentoo","Biscoe",45.8,4700
"Gentoo","Biscoe",49.8,5700
"Gentoo","Biscoe",46.2,4650
"Gentoo","Biscoe",49.5,5800
"Gentoo","Biscoe",43.5,4700
"Gentoo","Biscoe",50.7,5550
"Gentoo","Biscoe",47.7,4750
"Gentoo","Biscoe",46.4,5000
"Gentoo","Biscoe",48.2,5100
"Gentoo","Biscoe",46.5,5200
"Gentoo","Biscoe",46.4,4700
"Gentoo","Biscoe",48.6,5800
"Gentoo","Biscoe",47.5,4600
"Gentoo","Biscoe",51.1,6000
"Gentoo","Biscoe",45.2,4750
"Gentoo","Biscoe",45.2,5950
"Gentoo","Biscoe",49.1,4625
"Gentoo","Biscoe",52.5,5450
"Gentoo","Biscoe",47.4,4725
"Gentoo","Biscoe",50,5350
"Gentoo","Biscoe",44.9,4750
"Gentoo","Biscoe",50.8,5600
"Gentoo","Biscoe",43.4,4600
"Gentoo","Biscoe",51.3,5300
"Gentoo","Biscoe",47.5,4875
"Gentoo","Biscoe",52.1,5550
"Gentoo","Biscoe",47.5,4950
"Gentoo","Biscoe",52.2,5400
"Gentoo","Biscoe",45.5,4750
"Gentoo","Biscoe",49.5,5650
"Gentoo","Biscoe",44.5,4850
"Gentoo","Biscoe",50.8,5200
"Gentoo","Biscoe",49.4,4925
"Gentoo","Biscoe",46.9,4875
"Gentoo","Biscoe",48.4,4625
"Gentoo","Biscoe",51.1,5250
"Gentoo","Biscoe",48.5,4850
"Gentoo","Biscoe",55.9,5600
"Gentoo","Biscoe",47.2,4975
"Gentoo","Biscoe",49.1,5500
"Gentoo","Biscoe",47.3,4725
"Gentoo","Biscoe",46.8,5500
"Gentoo","Biscoe",41.7,4700
"Gentoo","Biscoe",53.4,5500
"Gentoo","Biscoe",43.3,4575
"Gentoo","Biscoe",48.1,5500
"Gentoo","Biscoe",50.5,5000
"Gentoo","Biscoe",49.8,5950
"Gentoo","Biscoe",43.5,4650
"Gentoo","Biscoe",51.5,5500
"Gentoo","Biscoe",46.2,4375
"Gentoo","Biscoe",55.1,5850
"Gentoo","Biscoe",44.5,4875
"Gentoo","Biscoe",48.8,6000
"Gentoo","Biscoe",47.2,4925
"Gentoo","Biscoe",46.8,4850
"Gentoo","Biscoe",50.4,5750
"Gentoo","Biscoe",45.2,5200
"Gentoo","Biscoe",49.9,5400
